IdPerson,IdCurrency,Year,Month,FullTimeGrossSalary,ActualGrossSalary,EmployeeCostToDeduce,EmployeeCostToAdd,PaidLeaveAllowance,LayOffAllowance,MonthlyBonus,YearlyBonus,PreviousYearRegulationBonus,YearlyBonusYear
110915,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
116442,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112402,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
110869,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
43469,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
121196,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112662,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112423,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120020,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112058,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
100929,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
119202,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
110882,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
118004,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
121205,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
118105,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
50601,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
110251,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
109260,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
119898,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
122321,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
110248,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120085,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
49753,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112174,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
10035,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
123360,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120599,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
111146,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
100930,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
112944,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120121,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
119538,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
121605,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
117002,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120960,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
124877,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
117674,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
117861,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
118430,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
122673,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
118890,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
119557,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
122548,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120906,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
121468,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120560,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
124096,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
123493,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
123374,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
120890,15,2022,11,3000.3,3500.35,300.55,400.55,50.5,70.7,4000.44,6000.66,5000.55,2022
